GENE; control 20 min;MazF 20 min; control 1h;MazF 1h;MazF regulon
grxD;-1.965784192;-5.058893681;0.992043257;-4.608232021;yes
frr;-1.77595973;-4.836501122;0.835924029;-4.643856049;yes
clpX;-0.907792568;-4.573466778;1.659467936;-4.680382252;yes
murA;-1.438307285;-4.756330967;0.896853089;-4.795859337;yes
rho;-2.314732552;-5.058893681;0.687060714;-4.836501122;yes
rpsB;-1.446148038;-5.058893681;1.010063648;-4.878321171;yes
tig;-1.454031587;-4.921390057;0.980390966;-4.878321171;yes
rpsP;-1.329159617;-4.921390057;0.913033009;-4.878321171;yes
fabG;-1.894321918;-4.756330967;0.703986585;-4.878321171;yes
speA;-0.854648709;-4.756330967;1.102322221;-4.878321171;yes
rpoD;-1.152003169;-4.293358803;1.358396173;-4.878321171;yes
lepA;-1.531156063;-4.473931313;0.73465544;-4.878321171;yes
metQ;-0.873027146;-5.321928024;1.796182394;-4.878321171;yes
ffh;-1.539519429;-4.795859337;0.860764205;-4.878321171;yes
rplR;-1.481968522;-5.058893681;0.925999403;-4.921390057;yes
efp;-1.680382013;-4.836501122;0.81064868;-4.921390057;yes
galU;-1.621488452;-4.680382252;1.124328136;-4.965784073;yes
panC;-1.751465201;-4.506352901;0.867896497;-4.965784073;yes
rpsT;-1.599462032;-5.442222118;0.871055067;-5.011588097;yes
thrS;-1.746615767;-5.158429146;1.169283748;-5.011588097;yes
zwf;-1.171368361;-5.107803345;1.126972914;-5.107803345;yes
mdoG;-1.539519429;-5.058893681;1.102322221;-5.158429146;yes
dsbA;-2.351074457;-5.321928024;0.47300759;-5.158429146;yes
rpsG;-1.446148038;-4.965784073;0.935082495;-5.210896969;yes
fabI;-2.077040911;-5.442222118;0.635057807;-5.210896969;yes
ptsH;-2.237863779;-5.717856884;0.718964338;-5.26534462;yes
ptsI;-2.490050793;-5.442222118;0.522055745;-5.380821705;yes
fabD;-2.029146433;-5.643856049;0.637842059;-5.380821705;yes
yidC;-1.621488452;-3.98850441;0.627606809;-5.442222118;yes
artI;-0.846843243;-5.717856884;1.361206889;-5.442222118;yes
yggE;-1.643856168;-5.878321171;0.799087286;-5.573466778;yes
luxS;-1.841662884;-6.158429146;1.125651002;-5.643856049;yes
gapA;-1.694321275;-6.158429146;1.513490796;-5.717856884;yes
rpoB;-1.450084448;-5.573466778;1.041243076;-5.717856884;yes
gnd;-2.351074457;-5.965784073;0.665392756;-5.717856884;yes
rplB;-1.531156063;-5.965784073;0.833497286;-5.795859337;yes
hslU;-1.046921015;-5.321928024;1.150559664;-5.795859337;yes
proS;-1.836501241;-5.878321171;0.694211662;-5.965784073;yes
rpsA;-1.560642838;-6.380821705;0.943358719;-6.158429146;yes
groL;-0.783389986;-5.158429146;1.333996058;-6.158429146;yes
nrdA;-3.095419645;-5.878321171;-0.486004055;-6.506352901;yes
araB;5.023033619;2.082021236;6.168682098;3.618943453;no
iraP;0.815575421;1.614945292;2.658554316;2.134878159;no
araC;2.047887325;0.64339447;4.168882847;1.811470985;no
ilvC;2.751463652;0.549915552;5.973703384;0.633198678;no
grxA;1.219091058;0.485426813;1.561692715;0.593592763;no
ucpA;1.171206832;0.443606675;2.162854671;0.145351321;no
mglB;4.548929691;0.254593998;4.737740993;0.126972869;no
csrA;-1.237863898;-1.231074691;1.277389765;-0.023269739;no
trxC;0.306845486;-0.168122783;1.572404623;-0.118726932;no
yihX;0.197865337;0.201633826;1.719402552;-0.226003647;no
aspA;2.45628047;-0.258425117;2.730965853;-0.321928084;no
dps;1.778208613;-0.332789034;3.155587435;-0.3658714;no
